ticker,event_date,drop_pct,success,days_to_hit,final_return,d0_close_in_range,d0_intraday_range_pct,d0_close_vs_vwap,d0_rvol,d0_rel_range,d0_rel_trade_size,d0_lower_wick,d0_upper_wick,d0_obv_ratio,d0_first30_vol_pct,d0_last30_vol_pct,d0_first_hour_ret,d1_close_in_range,d1_rvol,d1_obv_ratio,d1_first_hour_ret,d1_close_vs_vwap,d1_lower_wick,d1_return,d2_rvol,d2_obv_ratio,d2_first_hour_ret,d2_close_vs_vwap
AAPL,2020-01-31,0.0443387333438114,1,2.0,0.0301767181777523,0.16894695170229682,3.9223602484472035,-1.2518940066646334,1.4163125672117687,2.665696404068315,0.8769373143120767,0.16894695170229682,0.05384006334125155,0.4727887617589984,0.14818566860492105,6.132593818512801,-0.02484472049688602,0.4312333629103784,1.4080795236958832,0.44922306550003577,-0.8124796880077945,-0.7346468647989601,0.4312333629103784,-0.27462960056099384,0.9949482181277043,0.481787883653023,-0.19023462270132407,0.48937569298110883
XOM,2020-01-31,0.0412100933155364,0,,-0.0481326129295026,0.06484641638225164,4.578125000000011,-0.6225618712332515,2.314521280672917,3.183737116891934,1.0464395351428806,0.06484641638225164,0.2696245733788411,0.41096591432743007,0.5297055983122693,4.8862836498761,-1.2499999999999956,0.049295774647887466,1.7949222648957657,0.45173716859274465,-0.32388663967611864,-0.7168796657993415,0.049295774647887466,-2.2376036921259224,1.7762674806925942,0.4394204902012629,-0.3569575089198751,-1.100995611304234
V,2020-01-31,0.0443782968887856,1,2.0,0.0230687857954992,0.04407925407925329,2.122186495176845,-0.6664052033790724,2.477391996210016,1.4832303564835279,1.0478741417274129,0.04407925407925329,0.4265734265734237,0.45609760126393484,0.34310549750487795,6.308595902333522,-0.2918624783576518,0.2698412698412632,1.4318951842241883,0.5083461305683459,-0.14977533699451762,-0.1726064658669646,0.22222222222222474,0.9247606808071795,1.2352356024549658,0.46011136910526806,0.35920257913260034,-0.07522139170830222
UNH,2020-01-31,0.0303580270687366,1,2.0,0.0307945815927654,0.11904761904761857,3.0002143010215137,-0.6263123749829513,1.463002040613483,1.4210432911925337,1.1052721261796608,0.11904761904761857,0.0,0.4206313890613359,,14.109081616597082,-0.6179012786627691,0.446102819237145,1.6369221633673197,0.4632158168235184,0.4153005464480719,0.017321644366319333,0.446102819237145,0.576243984693825,1.2456293832852408,0.49389365519491113,-0.0811058036548351,0.10024204607321785
TXN,2020-01-31,0.0303005682249509,1,1.0,0.0227932031928745,0.0033222591362143186,2.449344942631626,-0.6856123537328118,1.212596691038446,1.4523594501306232,0.8954936099397711,0.0033222591362143186,0.24916943521594642,0.4442812866117523,0.013684840317072277,7.1708836958265065,0.37431849621611946,0.9322709163346604,1.0831463889746376,0.5926846086312243,-0.12380323539120663,0.5598982256639129,0.05976095617529562,2.279320319287459,0.863945173428712,0.5125149385030805,-0.01587427573617184,0.0814655006518894
SCHW,2020-01-31,0.0347531137396603,1,2.0,0.0335895196404152,0.17663043478260992,3.888419273034665,-0.34175284319577504,1.0460574109837295,1.9692466241567925,0.9998975679662113,0.17663043478260992,0.0,0.4520925781726412,0.0018461465751765653,7.340168014107514,-1.3630600169061813,0.27819548872180827,1.117051592697546,0.5883262939728157,-0.10902747492367304,-0.14500937326714647,0.2105263157894748,0.2854030083264236,1.2229621213535415,0.5906815209658608,0.23666092943201988,-0.005776097583254369
NVDA,2020-01-31,0.0381595439247712,1,1.0,0.0164954237104502,0.09937888198757555,3.294555797701995,-0.6497399348874833,1.0924246593260867,1.52911464528823,0.8980810990878607,0.09937888198757555,0.0630434782608705,0.4102443034675185,0.08858650768319198,6.099085217220284,0.18723717732282985,0.8067287395068025,0.9041960133231293,0.5609114832728413,-0.5569620253164431,0.1828331691874574,0.3272733223151303,1.6495423710450208,0.9585443298063304,0.5577115650605744,-0.15854947556711574,0.24919916549015486
MU,2020-01-31,0.0352534739186445,1,1.0,0.0129967719857946,0.027343750000000087,4.620938628158848,-1.0825464559863662,1.115570449450706,1.661532578443893,0.9525782430547429,0.027343750000000087,0.11718750000000155,0.47356978082755125,0.15043407111723814,4.6934650611205715,-0.00018050541515934881,0.7657657657657675,0.8220912793520175,0.5743422451810968,-0.29940119760478723,0.1771232901216946,0.39639639639639457,1.299677198579463,0.8378204103901014,0.5806253945789551,-0.2169197396963085,0.15094085531235368
META,2020-01-31,0.0363670842436926,1,1.0,0.0112921536226229,0.1406443618339519,3.8630923887027255,-0.9916356302237528,2.152459304189462,2.4711577679165866,1.0081768556925748,0.1406443618339519,0.0446096654275075,0.394095333097693,0.12891247935374497,5.667513170355795,-0.09573958831977647,0.46401515151515177,1.0198153169546578,0.5268031452514411,-0.43247493611165977,-0.007071342984532603,0.3712121212121193,1.1292153622622925,1.190210501528846,0.5545178591088533,0.04363865831755742,1.0168575453820772
LRCX,2020-01-31,0.0409712235400993,1,1.0,0.0343047096501187,0.10858585858585981,3.832134447275891,-0.5654298484726206,1.5037630527715469,1.6555886370338517,0.9432486128503745,0.10858585858585981,0.0,0.4366040699768007,0.08194804332762405,5.454104443122413,-0.26128189413244796,0.9472081218274113,1.0410829175856857,0.5568868079398954,-0.18048128342244008,0.3527256457172223,0.06091370558375169,3.430470965011878,1.5558783564134286,0.5559594169936606,0.1662523552417028,0.20573527150216098
