minute,avg_price,median_price,std_price,p25_price,p75_price,avg_volume,count,avg_winners,avg_losers,avg_small_drop,avg_medium_drop,avg_big_drop
0,-0.00024540350847867393,0.0,0.0052268008059448865,-0.0024267169346326167,0.0021065057486654992,726972.7267846821,6178,-0.0001701473068896565,-0.0005779831081325948,-6.488689828228485e-05,-0.0002534935381833759,-0.001075741613343658
1,-0.00017325249527326886,0.0,0.006322126505025193,-0.0031904563739770797,0.0027681660899654403,204139.27823016126,6105,-7.763728340006455e-05,-0.0005914848788982267,-7.567815168184825e-05,-0.0003142655481534294,-0.0004528762498414479
2,7.8226042611703e-05,0.0,0.0070190879138003195,-0.003205868792730604,0.0035311701211538926,187203.43641961456,6095,0.00023257040823104465,-0.0005977287166143987,0.00012629191677141865,-9.765698836997168e-05,0.00010009622464493546
3,0.00019952775488539835,0.0,0.007940564956791758,-0.00356941917278758,0.003888691594802318,176321.30576397234,6083,0.00040888618517347975,-0.0007181291523861657,0.00010245411648724087,-0.0001939353083105053,0.0012727748888439175
4,0.00011255376329279078,0.0,0.008290154398122852,-0.003796909679357946,0.004009170028141884,163141.092689482,6066,0.00033608542901140807,-0.0008876899177838377,1.635483745122519e-05,-0.00028388076880466834,0.001186760652450721
5,8.882023024268575e-06,0.0,0.00887552763974664,-0.004281345565749106,0.004285528764988555,170263.3396503679,6053,0.00026020888703043456,-0.0011470820545323062,-0.00010354707832920634,-0.0003346932355636329,0.0010714937596644617
6,3.001800231237289e-05,0.0,0.009520543700082604,-0.004659810656295393,0.004546304238645771,158105.51763959945,6043,0.00029563303426969034,-0.0011933388007192426,-6.125679780896827e-05,-0.000335680346551577,0.0010333511344095283
7,-2.6829172995258845e-05,0.0,0.009758486798102822,-0.004703668861712029,0.004761455779747292,149865.32043098783,6053,0.00023762658593791812,-0.001220252019547073,-1.376568442886814e-05,-0.0005409461032129669,0.0006674782679891187
8,-0.0001781891088566905,0.0,0.010102254318754037,-0.0049170251997542325,0.00467570961035757,145757.83327589295,6029,9.809368136636165e-05,-0.0014428026574447217,-0.00010947129707407093,-0.0006733722517302476,0.00020827925837572746
9,-0.0003205522921829877,-0.00011147989498488942,0.010561972554187867,-0.005109211345520004,0.004764035059785676,144144.48986338833,6000,-3.5221871305686336e-06,-0.0017896072860174366,-0.00020453744423888577,-0.0008493465557234206,-0.000103311446828514
