ticker,event_date,drop_pct,drop_bucket,success,year,month,day_of_week,stress,sector_etf,close_d1,high_d1,low_d1,close_d2,high_d2,low_d2,close_d3,high_d3,low_d3,close_d4,high_d4,low_d4,close_d5,high_d5,low_d5
AAPL,2020-01-31,0.0443387333438114,3-5%,True,2020,1,4,none,XLK,-0.27462960056099384,1.2858971739763136,-2.355338539920626,3.017671817775236,3.272916727469788,1.3311346926412337,3.85771124185863,4.927142747838098,3.049982922540906,5.07252792933639,5.075761997802419,3.473231773066199,3.398917218101638,4.487733414947548,2.743042217214242
XOM,2020-01-31,0.0412100933155364,3-5%,False,2020,1,4,none,XLE,-2.2376036921259224,-1.126852503180198,-2.8171281875244314,-3.461039517304465,-0.33805390869842133,-3.5898254677717345,0.9819713793305596,1.3039301146466453,-2.44687779120919,-0.38634556969759926,1.4327099242618102,-0.5473280077816889,-1.0463582137120953,-0.740500792630483,-1.7063708577265913
V,2020-01-31,0.0443782968887856,3-5%,True,2020,1,4,none,SPY,0.9247606808071795,1.653512220911857,0.4422801816422517,2.3068785795499203,2.990399010774647,1.6384351846185474,1.9299373344382698,3.3321630608316166,0.49253441299024203,2.045530502316839,2.8446517703094143,1.764082266322431,1.894760139383589,2.442579575079118,1.0654847988043947
UNH,2020-01-31,0.0303580270687366,3-5%,True,2020,1,4,none,XLV,0.576243984693825,1.6149729122202805,-0.5982766782090976,3.079458159276549,4.05578539103606,1.6259836583949028,8.544686267661717,9.010822790609208,4.7678435134383745,7.344458928796649,9.109919506180919,6.441544138978683,6.155253537272221,7.685814462542284,6.041472093078992
TXN,2020-01-31,0.0303005682249509,3-5%,True,2020,1,4,none,SMH,2.279320319287459,2.5113955582064085,0.3398226502524304,4.823870386421714,5.528386311304456,3.9038533152959687,9.772068600428852,10.161626175861048,6.639040227871318,9.838377618284543,10.236219078266707,8.976373033312534,6.67218841322319,8.785742511447413,6.51470607670992
SCHW,2020-01-31,0.0347531137396603,3-5%,True,2020,1,4,none,XLF,0.2854030083264236,2.9857313570381683,0.06586738638127976,3.3589519640415233,5.334797685789372,2.085621907467594,6.015371513414802,6.147089536683015,4.2590614136120974,5.005494252871645,7.091107785592077,3.8858408066087424,3.863890594313091,4.478597035557241,3.00768156933382
NVDA,2020-01-31,0.0381595439247712,3-5%,True,2020,1,4,none,SMH,1.6495423710450208,1.9794460048818463,-0.414497205128761,4.525651189388347,4.8513356321336465,3.2102558451326146,6.0609930459179395,6.754642582480552,4.644078962282294,7.537112948713598,7.537112948713598,5.2658328372624075,6.41204910622124,7.232588999721767,5.9806267330045015
MU,2020-01-31,0.0352534739186445,3-5%,True,2020,1,4,none,SMH,1.299677198579463,1.9212666318177751,-0.1695237376704073,4.539460991684763,5.518930677631495,3.4846458255866297,6.931626096438048,7.854583079601007,5.142210462214991,10.529290142251767,11.452247125414727,8.137125037498505,7.138822574184145,9.248445721039932,6.931626096438048
META,2020-01-31,0.0363670842436926,3-5%,True,2020,1,4,none,XLC,1.1292153622622925,1.5997205036677675,0.2922075811944369,3.9225387674199697,4.303898907331383,1.6294355041657882,4.061213807892683,5.358819211125687,3.367838605529161,4.427716447555086,4.596106488525797,3.679853667981292,5.160714169656955,5.4033992690956545,3.972061249175707
LRCX,2020-01-31,0.0409712235400993,3-5%,True,2020,1,4,none,SMH,3.430470965011878,3.812752993452029,0.6002510298825925,9.117742020488674,9.59391081122154,6.005836214514404,9.191513388857352,11.508666057086025,8.547667279487946,8.487314701724213,9.603978102171107,8.312934383776893,5.764400319492569,7.7361566434654305,5.536370423092296
UPS,2020-01-31,0.0414815125641999,3-5%,True,2020,1,4,none,XLI,-1.4393333772092287,0.9273635481048759,-1.7967475282772871,-0.13523898202117968,0.32844279203125826,-0.8693913501441886,2.4343164163247,2.965610311415956,0.7921171961119189,2.8883361573836863,4.124811061561151,1.9126771842551182,-0.38639288007662476,2.7530971753625177,-0.5023151660826786
GD,2020-01-31,0.0319483166287631,3-5%,True,2020,1,4,none,XLI,0.6725904351120526,1.8125812993210033,-0.14249885802611884,2.33127922992169,2.9753768513805845,2.02918234670153,4.862060340055985,5.1413612328656155,2.644778457067165,6.093252560787277,6.765842995899329,5.563152286261275,6.440950122268618,7.330141604761198,5.785450156884431
DHR,2020-01-31,0.0483880311779496,3-5%,True,2020,1,4,none,XLV,0.08081157806405503,1.3986405294939885,-0.22378590848508573,1.1748653202777959,1.8213472455213653,0.982160787971198,1.2556661990729578,2.076214530184939,0.745942329014726,1.9332401997639082,2.641884877364453,1.0505398155638668,0.6962121271291366,1.8524286216998531,0.515940145293925
CVX,2020-01-31,0.0382405931587069,3-5%,True,2020,1,4,none,XLE,-0.8026886459312932,0.10266997477899054,-1.62404132320505,-0.2706747406938659,1.1200270254604128,-0.5040142977446371,2.93074426688098,3.2760893748610576,0.9053586207102837,2.193390412085572,3.294753406203532,1.8387168489133465,1.6800476591487756,2.146726773250318,1.2413681525400344
C,2020-01-31,0.0390029269167462,3-5%,True,2020,1,4,none,XLF,0.9676032198278506,2.4190234293455237,0.3897235208449201,2.808757203374368,3.8435597906217867,2.714684240897336,5.9669326615994,6.141646915616716,4.569269895380623,6.128204991496,7.324279908640019,5.362179367559006,5.75191314158785,6.235719878093748,4.905246226110593
AVGO,2020-01-31,0.0318527822177018,3-5%,True,2020,1,4,none,SMH,0.02293868564331447,0.47188064033059085,-0.4981007455822861,2.1103653295079683,3.083628135029226,1.4713573007804737,4.004456980370175,4.800760639315538,3.5063562347878774,4.761433606599552,4.823699324958852,2.9722098760979643,3.299908063998047,4.378026289233827,3.181933216173105
AMGN,2020-01-31,0.0446605842021363,3-5%,True,2020,1,4,none,XLV,0.3841711730297126,1.652391582968149,-0.22680189134117734,2.66604694537127,3.6102767607409936,2.050447865404559,7.354778599952971,8.604487884888922,3.5593623387100815,7.127976708611805,8.257346024483425,6.151350658832899,6.146724643237089,7.465859475206438,5.378382297177642
