ticker,event_date,drop_pct,d0_minute_of_low,d0_rebound_low_to_close,d0_pct_volume_after_low,d0_near_low_retest_count,d1_pct_bars_above_vwap,d1_longest_streak_above_vwap,d1_last90_logprice_slope,d1_full_day_trend_r2,target_distance_over_atr20,num_droppers_3pct,num_droppers_5pct,frac_droppers_3pct,d1_return_vs_sector
AAPL,2020-01-31,0.0443387333438114,255.0,0.006882115787776,0.1955188550001057,1.0,0.5909090909090909,195.0,-4.46604637707107e-06,0.4148941471589876,,20,0,0.202020202020202,-0.015963412398291688
AMAT,2020-01-31,0.0375103455856132,60.0,0.0034590107229333,0.6391831595037545,4.0,0.6090909090909091,114.0,-1.9020233672266691e-06,0.1537641881925605,,20,0,0.202020202020202,0.016167224161452998
AMD,2020-01-31,0.0364903407921433,106.0,0.0027410788329209,0.502012126381638,2.0,0.9212121212121211,275.0,-1.3526490978253747e-05,0.8031399962079548,,20,0,0.202020202020202,0.008036640537001816
AMGN,2020-01-31,0.0446605842021363,129.0,0.0248083424598828,0.3840937907282581,1.0,0.1303030303030303,18.0,1.8059489632208992e-05,0.3412172633149035,,20,0,0.202020202020202,-0.005236295425029125
AVGO,2020-01-31,0.0318527822177018,106.0,0.0021081876123549,0.4920764211506204,12.0,0.6231003039513677,60.0,-1.616037459694935e-05,0.1017693229088111,,20,0,0.202020202020202,-0.013436110005792035
C,2020-01-31,0.0390029269167462,291.0,0.00141918175721,0.1101569076283007,2.0,0.2272727272727272,69.0,-1.2172598582646792e-06,0.3765331997280379,,20,0,0.202020202020202,0.0026668914403991106
CVX,2020-01-31,0.0382405931587069,325.0,0.0020207716528033,0.0095635603622613,1.0,0.2545454545454545,24.0,2.383470632926827e-05,0.2038304234916765,,20,0,0.202020202020202,0.005071894385921039
DHR,2020-01-31,0.0483880311779496,257.0,0.0097293251839842,0.1486149550406471,1.0,0.149390243902439,26.0,-4.205967211152632e-05,0.7658912001035771,,20,0,0.202020202020202,-0.0082698913746857
GD,2020-01-31,0.0319483166287631,199.0,0.0044624978545684,0.362618741703709,6.0,0.1896024464831804,26.0,-1.412282542818321e-05,0.8210942679285355,,20,0,0.202020202020202,0.0070956831477612115
INTC,2020-01-31,0.0382127406180371,258.0,0.0005470032038759,0.1743024007147958,6.0,0.3,75.0,-1.6783476780464185e-05,0.5808410322829464,,20,0,0.202020202020202,-0.006000897121407389
LRCX,2020-01-31,0.0409712235400993,121.0,0.0043269714554055,0.4345568088672406,2.0,0.9878419452887538,190.0,7.866124281608587e-06,0.5154124259469552,,20,0,0.202020202020202,0.0206392127878936
META,2020-01-31,0.0363670842436926,257.0,0.0056414334708483,0.1690536287308136,3.0,0.3,43.0,4.7890534690513566e-06,0.0638363364403354,,20,0,0.202020202020202,-0.0005792317059993835
MU,2020-01-31,0.0352534739186445,300.0,0.0013172751223184,0.0471547373185891,2.0,0.9303030303030304,191.0,-1.7516596963822406e-05,0.4839043501104668,,20,0,0.202020202020202,-0.0006687248764305487
NVDA,2020-01-31,0.0381595439247712,129.0,0.0033783783783782,0.4952145714186405,4.0,0.9,217.0,1.849043432414526e-05,0.0249266587687776,,20,0,0.202020202020202,0.0028299268482250284
SCHW,2020-01-31,0.0347531137396603,200.0,0.0071459982409851,0.3098875159048463,1.0,0.1909090909090909,63.0,3.952042074148897e-05,0.5236398349252203,,20,0,0.202020202020202,-0.004155110674615159
TXN,2020-01-31,0.0303005682249509,324.0,8.289811821282633e-05,0.0180546460414417,1.0,0.987878787878788,325.0,6.412287324775288e-05,0.6536254464756941,,20,0,0.202020202020202,0.00912770633064941
UNH,2020-01-31,0.0303580270687366,296.0,0.0036821562707121,0.153727336522975,2.0,0.2242424242424242,41.0,1.7468848514311073e-05,0.567028535030521,,20,0,0.202020202020202,-0.003315567308388001
UPS,2020-01-31,0.0414815125641999,257.0,0.0052361097643751,0.1461520607502613,1.0,0.1580547112462006,44.0,-5.753812694286347e-05,0.7347274200392104,,20,0,0.202020202020202,-0.014023554975451602
V,2020-01-31,0.0443782968887856,129.0,0.0009469678000901,0.3683128166992506,4.0,0.2636363636363636,69.0,6.664066922347298e-06,0.6403088941542738,,20,0,0.202020202020202,0.0018191229229276296
XOM,2020-01-31,0.0412100933155364,256.0,0.00307145166505,0.1486868225189365,5.0,0.1818181818181818,49.0,-3.52743782163309e-05,0.7443680342272732,,20,0,0.202020202020202,-0.009277256076025253
COP,2020-02-04,0.0454545220148253,312.0,0.0027269528501054,0.0472796194227897,2.0,0.9787878787878788,323.0,-1.7103685205644085e-05,0.8559321837343994,,1,0,0.0101010101010101,0.002941355342367169
