config,final_equity,total_return,cagr,max_dd,num_trades
"Baseline (core only, no speed)",183734.97533207387,0.8373497533207386,0.10839561133224329,-0.2598856521812833,857
Speed priority (3 reserved),190573.72286832726,0.9057372286832726,0.11526946934930327,-0.24440778660691012,985
Speed + Crisis override,194724.9571937257,0.9472495719372571,0.11934266984286901,-0.2167659863571873,1023
"Speed + Crisis, 25% size",209173.70826299884,1.0917370826299884,0.1329792664811822,-0.22303061302693272,1023
"Speed + Crisis, 15 pos",204957.74047432982,1.0495774047432982,0.12908329435645194,-0.20431594365365136,1406
"Speed + Crisis, score-weighted 10pos",194724.9571937257,0.9472495719372571,0.11934266984286901,-0.2167659863571873,1023
