vix_bin,-2 to 0,2 to 4%,4%+,<-2%
15-20,0.7272727272727273,0.8,0.7824377457404981,0.4886039886039886
20-25,0.6666666666666666,0.8888888888888888,0.803921568627451,0.5455882352941176
25-30,0.8,,0.8273026315789473,0.4614343707713126
30-40,,,0.7720488466757124,0.5273775216138329
40+,,,0.7386877828054299,0.5450346420323325
<15,0.42857142857142855,0.8,0.8064516129032258,0.5347826086956522
