ticker,event_date,success,days_to_hit,hit_5_by_5,hit_5_by_10,hit_5_by_60,speed_label,max_5d_high_ret,max_5d_day,ret_per_day_5d,d2_high_ret,d3_high_ret,d4_high_ret,d5_high_ret,drop_pct,final_return,max_drawdown,d0_minute_of_low,d0_rebound_low_to_close,d0_pct_volume_after_low,d0_near_low_retest_count,d1_pct_bars_above_vwap,d1_longest_streak_above_vwap,d1_last90_logprice_slope,d1_full_day_trend_r2,d1_return_vs_sector,target_distance_over_atr20,num_droppers_3pct,num_droppers_5pct,score,tier
AAPL,2020-01-31,True,3.0,True,True,True,FAST_WIN,0.05365125821977896,4.0,0.01788375273992632,0.03557315770120952,0.05216097295566784,0.05365125821977896,0.047754778913664794,0.0443387333438114,0.0301767181777523,-0.0027462960056099,255.0,0.006882115787776089,0.19551885500010574,1.0,0.5909090909090909,195.0,-4.46604637707107e-06,0.41489414715898765,-0.016529429081194466,,20,0,-100,VETO
AMAT,2020-01-31,True,2.0,True,True,True,FAST_WIN,0.07903551782023144,3.0,0.03951775891011572,0.06580710356404629,0.07903551782023144,0.07434699180593846,0.05458804847450438,0.0375103455856132,0.0298327210236781,0.0298327210236781,60.0,0.003459010722933309,0.6391831595037545,4.0,0.6090909090909091,114.0,-1.9020233672266691e-06,0.15376418819256055,0.01208453107593847,,20,0,9,CONFIDENT_YES
AMD,2020-01-31,True,5.0,True,True,True,FAST_WIN,0.08912950309239122,6.0,0.017825900618478243,0.036026645683978314,0.049979127203311366,0.028529756743541846,0.05518529125197458,0.0364903407921433,0.0217021373992269,0.0217021373992269,106.0,0.0027410788329209623,0.502012126381638,2.0,0.9212121212121213,275.0,-1.3526490978253747e-05,0.8031399962079548,0.003953947451487288,,20,0,4,NO
AMGN,2020-01-31,True,3.0,True,True,True,FAST_WIN,0.0818885748201281,3.0,0.04094428741006405,0.032137592510979744,0.0818885748201281,0.07843044136792142,0.07054586614029193,0.0446605842021363,0.0266604694537127,0.0038417117302971,129.0,0.024808342459882837,0.3840937907282581,1.0,0.1303030303030303,18.0,1.8059489632208992e-05,0.34121726331490354,-0.007613350235645331,,20,0,7,SMALLER_YES
AVGO,2020-01-31,True,7.0,False,True,True,SLOW_WIN,0.047996596604740795,4.0,0.015998865534913597,0.030599875284660356,0.04776726235457037,0.047996596604740795,0.04354088832840514,0.0318527822177018,0.0211036532950796,-0.0021627992896883,106.0,0.0021081876123549836,0.49207642115062045,12.0,0.6231003039513677,60.0,-1.616037459694935e-05,0.10176932290881113,-0.017518803091306562,,20,0,6,SMALLER_YES
C,2020-01-31,True,3.0,True,True,True,FAST_WIN,0.06295758724679584,4.0,0.020985862415598616,0.02848395405140362,0.0512445926296167,0.06295758724679584,0.052176306956559976,0.0390029269167462,0.0280875720337436,0.0096760321982785,291.0,0.0014191817572100085,0.11015690762830074,2.0,0.22727272727272727,69.0,-1.2172598582646792e-06,0.3765331997280379,0.0036863630117529396,,20,0,7,SMALLER_YES
CVX,2020-01-31,True,8.0,False,True,True,SLOW_WIN,0.04130597892426397,4.0,0.013768659641421323,0.019382739765283413,0.04111782834752251,0.04130597892426397,0.0297328161310154,0.0382405931587069,0.0293074426688098,-0.0080268864593129,325.0,0.0020207716528033437,0.00956356036226134,1.0,0.2545454545454545,24.0,2.383470632926827e-05,0.20383042349167657,0.0035096312097859794,,20,0,-100,VETO
DHR,2020-01-31,True,59.0,False,False,True,SLOW_WIN,0.025590053267131253,4.0,0.008530017755710417,0.017391302488586148,0.0199379173755445,0.025590053267131253,0.01770186527967863,0.0483880311779496,0.0117486532027779,-0.0037919278937751,257.0,0.009729325183984283,0.14861495504064715,1.0,0.14939024390243902,26.0,-4.205967211152632e-05,0.7658912001035771,-0.010646946185301907,,20,0,0,NO
GD,2020-01-31,True,4.0,True,True,True,FAST_WIN,0.06709323084089736,6.0,0.013418646168179471,0.022874015720820998,0.04438915079506051,0.060525437305744605,0.06613072278039991,0.0319483166287631,0.0233127922992169,0.0067259043511205,201.0,0.004462497854568426,0.362618741703709,6.0,0.18960244648318042,26.0,-1.412282542818321e-05,0.8210942679285355,0.011855834351515075,,20,0,2,NO
INTC,2020-01-31,True,7.0,False,True,True,SLOW_WIN,0.04936355783239918,3.0,0.02468177891619959,0.025457923568197576,0.04936355783239918,0.04625897922440724,0.04470668992041127,0.0382127406180371,0.0239324068824227,0.0064132024207366,258.0,0.0005470032038759065,0.17430240071479589,6.0,0.3,75.0,-1.6783476780464185e-05,0.5808410322829464,-0.010083590206921917,,20,0,2,NO
