year,count,hit_5_60,good_trade,ugly_loser_rate,median_days_to_5
2020,2322,0.8389319552110249,0.6012058570198106,0.29155900086132647,1.0
2021,849,0.8633686690223793,0.773851590106007,0.06949352179034157,2.0
2022,1952,0.7443647540983607,0.5870901639344263,0.18186475409836064,2.0
2023,728,0.8063186813186813,0.7417582417582418,0.0673076923076923,2.0
2024,798,0.818295739348371,0.7080200501253133,0.08521303258145363,2.0
2025,1182,0.8316412859560067,0.7157360406091371,0.10575296108291032,2.0
