label,total_return,cagr,max_dd,sharpe,n_trades,signals_skipped,win_rate,avg_trade_ret,pct_invested,dd_2022,trades_2022
Baseline (no regime filter),2.3165414624429275,0.21475040308926485,-0.22526794315427998,1.4780797570542745,1116,1014,0.706989247311828,0.012697132616487455,0.9606705351386202,-0.08541594620620625,208
A: Skip SMALL when HYG<=-1%,1.8580066127893566,0.18577250163306602,-0.17655094589044082,1.341097866153818,930,1200,0.6967741935483871,0.011612903225806449,0.9323017408123792,-0.11110114601055777,149
B: Skip ALL when HYG<=-1%,1.8580066127893566,0.18577250163306602,-0.17655094589044082,1.341097866153818,930,1200,0.6967741935483871,0.011612903225806449,0.9323017408123792,-0.11110114601055777,149
C: Regime sizing (HYG tiers),1.6744866404704983,0.1730716864816979,-0.15809060108782727,1.3215442296339404,930,1200,0.6967741935483871,0.011612903225806449,0.9323017408123792,-0.10600643016553048,149
D: Skip ALL when HYG<=-1% AND SPY<=-4%,2.0694241280174466,0.1995833961061677,-0.17366887420105742,1.436803273390659,1002,1128,0.7065868263473054,0.01273453093812375,0.9451966473243069,-0.09481058829601292,186
E: Only trade when HYG>0,1.3962554764006756,0.15234761095305838,-0.12578208633107155,1.254681880263947,658,1472,0.6945288753799392,0.011504559270516718,0.8884590586718246,-0.12578208633107155,109
