label,total_return,cagr,max_dd,sharpe,n_trades,signals_taken,signals_skipped,replacements,win_rate,avg_trade_ret,avg_positions
baseline_score_weighted,2.3165414624429275,0.21475040308926485,-0.22526794315427998,1.4780797570542745,1116,1116,1014,0,0.706989247311828,0.012697132616487455,6.951644100580271
score_first_sector_caps_replace,1.7827936195462495,0.18065232836310097,-0.2317395380400033,1.3391835014142834,1090,1090,1040,49,0.6862385321100918,0.01118778797279524,6.349451966473243
sector_penalty_replace,1.8430687941518595,0.18476465868378789,-0.22414769663296,1.3700756871366457,1090,1090,1040,45,0.6880733944954128,0.011395472800361352,6.326241134751773
score_first_no_replace,1.719614237255447,0.17626096356324705,-0.2317395380400033,1.3342581835447136,1027,1027,1103,0,0.7020447906523856,0.012044790652385586,6.473887814313346
