count,hit_5_60,hit_5_20,good_trade,loser_rate,ugly_loser_rate,median_days_to_5,median_day60_return,median_max_dd,bin
3597,0.8023352793994996,0.8023352793994996,0.6927995551848762,0.19766472060050042,0.13400055601890465,2.0,0.0181657339785248,-0.0350361252034703,3-4%
1785,0.8050420168067227,0.8050420168067227,0.646498599439776,0.1949579831932773,0.19047619047619047,2.0,0.0191190344318088,-0.0397498364372264,4-5%
914,0.8041575492341356,0.8041575492341356,0.6312910284463895,0.19584245076586435,0.2024070021881838,2.0,0.0201700626799237,-0.03943216149027045,5-6%
877,0.8358038768529077,0.8358038768529077,0.6488027366020525,0.16419612314709237,0.17787913340935005,1.0,0.0242450472040822,-0.0418473008295983,6-8%
343,0.8367346938775511,0.8367346938775511,0.5743440233236151,0.16326530612244897,0.23323615160349853,1.0,0.0270543231454463,-0.0597919165168265,8-10%
245,0.8857142857142857,0.8857142857142857,0.5224489795918368,0.11428571428571428,0.27755102040816326,1.0,0.0422897543856557,-0.0687669598633635,10-15%
70,0.8857142857142857,0.8857142857142857,0.4714285714285714,0.11428571428571428,0.3142857142857143,1.0,0.05302318999079175,-0.08739095910450685,15%+
