count,hit_5_60,good_trade,loser_rate,ugly_loser,med_max_dd,d1_return,d1_vwap
486,56.0,34.6,44.0,53.9,-13.4,<-2%,<-1%
175,76.0,49.1,24.0,32.6,-6.7,<-2%,1%+
143,88.8,69.9,11.2,21.7,-3.1,4%+,<-1%
816,98.9,68.5,1.1,24.6,-2.4,4%+,1%+
