config,final_equity,cagr,max_dd,trades
"1. Baseline (core 60d, no crisis)",219111.86641328255,0.1419112161612215,-0.14512672733138557,871
2. + Crisis override only,232131.4591081947,0.15311666510508437,-0.1385777481005277,917
3. + Adaptive exits (15d for ATR<1),233309.89893433623,0.15410492285920374,-0.13857774810052817,918
4. + Adaptive exits (20d for ATR<1),231558.98227780196,0.15263507216455752,-0.1385777481005277,917
5. + Adaptive exits (30d for ATR<1),232131.4591081947,0.15311666510508437,-0.1385777481005277,917
6. Config 3 + 25% size,254535.0514765529,0.17123103168341802,-0.1571686270859766,918
7. Config 3 + 15 positions,242373.20160572988,0.1615700119524297,-0.12693857437343803,1222
8. Config 4 + 25% size,252642.37413940713,0.1697530989186289,-0.1571686270859764,917
