variant,tier,n,hit_rate,good_trade,ugly_loser,avg_net_ret,median_net_ret,pct_profit_target,pct_stop_loss,pct_max_hold,avg_hold_days
v1_pure_baseline,CONFIDENT_YES,937,0.9647812166488794,0.8345784418356457,0.07043756670224119,0.009178651051751526,0.042075,0.7022411953041622,0.28601921024546423,0.011739594450373533,10.40981856990395
v1_pure_baseline,SMALLER_YES,1193,0.9698239731768651,0.7636211232187762,0.14668901927912825,-0.0011767930430855514,0.019800000000000005,0.647108130762783,0.347024308466052,0.00586756077116513,8.202849958088851
v1_pure_baseline,ALL,2130,0.967605633802817,0.7948356807511737,0.11314553990610329,0.003378630016474235,0.029699999999999997,0.6713615023474179,0.32018779342723,0.008450704225352112,9.173708920187794
v2_partial_profit,CONFIDENT_YES,937,0.9647812166488794,0.8345784418356457,0.07043756670224119,0.0059821472891059225,0.033575,0.7022411953041622,0.28601921024546423,0.011739594450373533,10.40981856990395
v2_partial_profit,SMALLER_YES,1193,0.9698239731768651,0.7636211232187762,0.14668901927912825,-0.0020323251681989684,0.0158,0.647108130762783,0.347024308466052,0.00586756077116513,8.202849958088851
v2_partial_profit,ALL,2130,0.967605633802817,0.7948356807511737,0.11314553990610329,0.0014932901803900841,0.0237,0.6713615023474179,0.32018779342723,0.008450704225352112,9.173708920187794
v3_tier_specific,CONFIDENT_YES,937,0.9647812166488794,0.8345784418356457,0.07043756670224119,0.009178651051751526,0.042075,0.7022411953041622,0.28601921024546423,0.011739594450373533,10.40981856990395
v3_tier_specific,SMALLER_YES,1193,0.9698239731768651,0.7636211232187762,0.14668901927912825,-0.0011767930430855514,0.019800000000000005,0.647108130762783,0.347024308466052,0.00586756077116513,8.202849958088851
v3_tier_specific,ALL,2130,0.967605633802817,0.7948356807511737,0.11314553990610329,0.003378630016474235,0.029699999999999997,0.6713615023474179,0.32018779342723,0.008450704225352112,9.173708920187794
v4_mild_early_smaller,CONFIDENT_YES,937,0.9647812166488794,0.8345784418356457,0.07043756670224119,0.009178651051751526,0.042075,0.7022411953041622,0.28601921024546423,0.011739594450373533,10.40981856990395
v4_mild_early_smaller,SMALLER_YES,1193,0.9698239731768651,0.7636211232187762,0.14668901927912825,-0.0019311573686594608,0.019800000000000005,0.5666387259010897,0.1944677284157586,0.00586756077116513,7.124056999161777
v4_mild_early_smaller,ALL,2130,0.967605633802817,0.7948356807511737,0.11314553990610329,0.0029561151618218047,0.019800000000000005,0.6262910798122066,0.2347417840375587,0.008450704225352112,8.569483568075118
